"id","tema","texto_pregunta","opcion_a","opcion_b","opcion_c","opcion_d","opcion_e","respuesta_correcta","tipo_origen","origen","imagen","notas"
"1","Lenguaje Audiovisual","¿Cuál de las siguientes redes sociales está más orientada a conectar profesionales y buscar oportunidades laborales?","Instagram","Tik Tok","Snapchat","LinkedIn","Pinterest","LinkedIn","Examen","CPU-2025-1","",""
"2","Lenguaje Audiovisual","¿Cuáles son las funciones básicas del lenguaje?","Conativa – de glosa - fática","Metalingüística – poética - referencial","Conativa – sintomática – fálica","Representativa – apelativa - expresiva","De glosa – fática - apelativa","Representativa – apelativa - expresiva","Examen","CPU-2025-1","",""
"3","Gramática y Ortografía","El sufijo –ante es una terminación de sustantivos como caminante, solicitante, navegante. A partir de la explicación dada, se colige que “tales sustantivos se derivan a partir de un ………”.","Verbo","Adjetivo","Adverbio","Sustantivo","Pronombre","Verbo","Examen","CPU-2025-1","",""
"4","Gramática y Ortografía","Es en la lengua, la expresión del signo (la expresión que utiliza el hablante cuando transmite el concepto al que lo tiene asociado) que está constituida por una sucesión de elementos fónicos sucesivos. Como, por ejemplo: m-e-s-a, que está constituido por cuatro sonidos. El siguiente concepto corresponde a uno de los elementos del que está compuesto el signo lingüístico:","Sema","Simbolo","Significado","Significante","Morfema","Significante","Examen","CPU-2025-1","",""
"5","Literatura","No es una característica de Clasicismo:","Fondo y forma","Hermetismo","Dioses","Culto a la belleza","Originalidad y creatividad","Hermetismo","Examen","CPU-2025-1","",""
"6","Literatura","¿Cuál es el lema central de “Los galinazos sin plumas”?","El abandono","La frustración","La explotación","La degradación","La melancolía","El abandono","Examen","CPU-2025-1","",""
"7","Antonimia","Elige el antónimo contextual de la palabra resaltada en la siguiente oración: Es una persona FOGUEADA en la técnica, pues la práctica diariamente.","Novata","Astuta","Descreída","Fingida","Ignorante","Novata","Examen","CPU-2025-1","",""
"8","Antonimia","Marca la alternativa que exprese el antónimo de COMEDIDO","Grosero","Alento","Distraer","Listo","Frugal","Grosero","Examen","CPU-2025-1","",""
"9","Analogías","ZAPATO es a CAMINAR","Guante :  boxear","Abrigo : tapar","Bolígrafo :  escribir","Hilo : cocer","Papel : dibujar","Guante :  boxear","Examen","CPU-2025-1","",""
"10","Analogías","LIMBRAL es a PUERTA","Alero : casa","Alféizar : ventana","Cornisa : techo","Capital : columna","Dintel : vestibulo","Alféizar : ventana","Examen","CPU-2025-1","",""
"11","Series Verbales y Término Excluido","¿Qué alternativa continúa la siguiente serie? Bueno, fuerte, nuevo. ______ fortísimo, bonísimo.","Durísimo","Nuevísimo","Fuertísimo","Novísimo","Riquísimo","Novísimo","Examen","CPU-2025-1","",""
"12","Series Verbales y Término Excluido","¿Qué alternativa continúa la siguiente serie? Aracnofobia: arañas. ______ : gatos, necrófobia: ________.","Ailurofobia - muerte","Ailurofobia - noche","Ailurofobia - cadáveres","Galofobia - muertos","Cinofobia - negros","Ailurofobia - muerte","Examen","CPU-2025-1","",""
"13","Relaciones Semánticas y Formales","Marca la alternativa correcta: I. Brasero — bracero: homófonas II. Sombrio — lóbrego: sinónimas III. Neonato — senecto: antónimas IV. Sólito — sólido: homófonas","I y IV","I, II y IV","II, III y IV","I, II y III","I, II, III y IV","I, II y III","Examen","CPU-2025-1","",""
"14","Relaciones Semánticas y Formales","Indique qué oraciones están correctamente redactadas: i. Tomé un sumo de naranja en el desayuno. ii. Cristhian, sí sumo mal, me avisas. iii. Noelia, a lo sumo, vendré a las 7 p.m. IV. Rocío, te invito un zumo de limón.","II, III y IV","II y III","I, II y III","I y III","II y IV","II, III y IV","Examen","CPU-2025-1","",""
"15","Inclusión e Implicancia de Conceptos","¿Qué alternativa está implicada en la definición de las demás?","Bote","Embarcación","Barco","Buque","Lancha","Embarcación","Examen","CPU-2025-1","",""
"16","Inclusión e Implicancia de Conceptos","Señale lo correcto: I. El concepto TELEGRAFO supone el concepto COMUNICACIÓN. II. El concepto DEDO está incluido en el de DIGITAL. III. El concepto INTEMPORAL incluye el de TIEMPO.","I y II","Solo III","Solo I","I, II y III","Solo II","I y II","Examen","CPU-2025-1","",""
